source_id,participant_id,text
s01,p01,我支持学校使用AI学业风险预警，可以早点发现需要帮助的同学。
s02,p02,如果只用于辅导提醒而不是处分，我支持AI预警。
s03,p03,我支持AI预警，但前提是学生可以看到依据并提出申诉。
s04,p04,只要允许退出，并且不影响奖学金评定，我可以接受。
s05,p05,我反对学校使用AI预警，因为它可能给学生贴上差生标签。
s06,p06,我完全不同意使用AI预警，学习困难不应该被机器判断。
s07,p07,我担心隐私泄露，尤其是学习记录和心理状态被过度收集。
s08,p08,我主要担心数据用途会扩大，今天是辅导，明天可能变成管理处罚。
s09,p09,如果数据只保留在校内并定期删除，我会比较放心。
s10,p10,我担心系统误判，必须有人工复核和申诉渠道。
s11,p11,有些同学可能因为家庭原因成绩波动，AI预警容易误解背景。
s12,p12,我赞成作为老师辅导的参考，但不能自动给学生分类。
s13,p13,我不确定是否支持，取决于学校是否公开算法和数据范围。
s14,p14,我保持中立，AI可能有帮助，但风险也很明显。
s15,p15,我反对把AI预警结果公开给班级或家长群。
s16,p16,部分学生会担心被错误标签化，尤其是已经成绩不稳定的人。
s17,p17,我支持早期提醒，但学生应该有权修改错误数据。
s18,p18,我担心老师过度依赖系统，而不是和学生沟通。
s19,p19,如果系统只是提示老师关注，而不是直接判定风险，我可以接受。
s20,p20,我坚决反对把消费记录、门禁记录这类无关数据用于学业预警。
s21,p21,我认为AI预警可以帮助资源分配，但必须说明数据来源。
s22,p22,我担心少数群体和转专业学生被模型误判。
s23,p23,我赞成小范围试点，并且每学期进行独立审计。
s24,p24,我目前不支持正式上线，除非先证明误判率和纠错机制可靠。
